time,pv_w,consumption_w,price
00:00,0.0,400.0,0.28
00:15,0.0,400.0,0.28
00:30,0.0,400.0,0.28
00:45,0.0,400.0,0.28
01:00,0.0,400.0,0.28
01:15,0.0,400.0,0.28
01:30,0.0,400.0,0.28
01:45,0.0,400.0,0.28
02:00,0.0,400.0,0.28
02:15,0.0,400.0,0.28
02:30,0.0,400.0,0.28
02:45,0.0,400.0,0.28
03:00,0.0,400.0,0.28
03:15,0.0,400.0,0.28
03:30,0.0,400.0,0.28
03:45,0.0,400.0,0.28
04:00,0.0,400.0,0.28
04:15,0.0,400.0,0.28
04:30,0.0,400.0,0.28
04:45,0.0,400.0,0.28
05:00,0.0,400.0,0.28
05:15,0.0,400.0,0.28
05:30,0.0,400.0,0.28
05:45,0.0,400.0,0.28
06:00,0.0,400.0,0.28
06:15,0.0,400.0,0.28
06:30,0.0,400.0,0.28
06:45,0.0,400.0,0.28
07:00,348.8,400.0,0.28
07:15,433.4,400.0,0.28
07:30,533.7,400.0,0.28
07:45,651.0,400.0,0.28
08:00,786.9,400.0,0.28
08:15,942.3,400.0,0.28
08:30,1118.1,400.0,0.28
08:45,1314.5,400.0,0.28
09:00,1531.1,400.0,0.28
09:15,1767.1,400.0,0.28
09:30,2020.6,400.0,0.28
09:45,2289.2,400.0,0.28
10:00,2569.6,400.0,0.28
10:15,2857.9,400.0,0.28
10:30,3149.2,400.0,0.28
10:45,3438.4,400.0,0.28
11:00,3719.5,400.0,0.03
11:15,3986.5,400.0,0.03
11:30,4233.5,400.0,0.03
11:45,4454.3,400.0,0.03
12:00,4643.5,400.0,0.03
12:15,4796.2,400.0,0.03
12:30,4908.4,400.0,0.03
12:45,4976.9,400.0,0.03
13:00,5000.0,400.0,0.03
13:15,4976.9,400.0,0.03
13:30,4908.4,400.0,0.03
13:45,4796.2,400.0,0.03
14:00,4643.5,400.0,0.28
14:15,4454.3,400.0,0.28
14:30,4233.5,400.0,0.28
14:45,3986.5,400.0,0.28
15:00,3719.5,400.0,0.28
15:15,3438.4,400.0,0.28
15:30,3149.2,400.0,0.28
15:45,2857.9,400.0,0.28
16:00,2569.6,400.0,0.28
16:15,2289.2,400.0,0.28
16:30,2020.6,400.0,0.28
16:45,1767.1,400.0,0.28
17:00,1531.1,400.0,0.42
17:15,1314.5,400.0,0.42
17:30,1118.1,400.0,0.42
17:45,942.3,400.0,0.42
18:00,786.9,400.0,0.42
18:15,651.0,400.0,0.42
18:30,533.7,400.0,0.42
18:45,433.4,400.0,0.42
19:00,348.8,400.0,0.42
19:15,0.0,400.0,0.42
19:30,0.0,400.0,0.42
19:45,0.0,400.0,0.42
20:00,0.0,400.0,0.28
20:15,0.0,400.0,0.28
20:30,0.0,400.0,0.28
20:45,0.0,400.0,0.28
21:00,0.0,400.0,0.28
21:15,0.0,400.0,0.28
21:30,0.0,400.0,0.28
21:45,0.0,400.0,0.28
22:00,0.0,400.0,0.28
22:15,0.0,400.0,0.28
22:30,0.0,400.0,0.28
22:45,0.0,400.0,0.28
23:00,0.0,400.0,0.28
23:15,0.0,400.0,0.28
23:30,0.0,400.0,0.28
23:45,0.0,400.0,0.28
